"text_of_1month","datums","datums2"
" Jef verbiedt Dian met Mark om te gaan. Trix legt haar ruzie met Jan Henk bij. Helen wil van Martine de waarheid over haar zoon niet horen. Linda heeft een teleurstellende mededeling voor Mickey. Jef moet een beslissing nemen in de Sebsaliet-affaire, maar hij moet ook rekening houden met de mening van de Raad van Commissarissen. Martine Hafkamp regelt een ontmoeting tussen Peter en Rolf Huygens.","Dinsdag 12 mei 1992"," 12 5 1992"
" Anita zegt tegen Johan en Myriam dat ze meegaat op reis. Simon wil met zijn Sebsaliet-verhaal naar de pers stappen, maar Frits zet hem onder druk. Suzanne wordt gedwongen met Jan Henk te gaan dineren. Jan Henk biedt Mickey tijdelijk werk aan. De emoties lopen hoog op wanneer Daniël de mening van Helen vraagt over de toestand van Lotje.","Woensdag 13 mei 1992"," 13 5 1992"
" Dick van Vleuten heeft de teksten van Mickey verandert. Linda wil dat Mickey die veranderingen in de teksten aanbrengt. Dian heeft een geheime ontmoeting met Mark. Anita is van plan weer rechten te gaan studeren. Myriam begint een kindercrèche. Tussen Anita en Mickey groeit iets moois. ","Donderdag 14 mei 1992"," 14 5 1992"
" Als Jef een beslissing neemt in de Sebsaliet-affaire, heeft dit grote gevolgen voor de toekomst. Helen en Peter vragen zich af of het ongeluk van Rolf Huygens wel een ongeluk was. Frits smeekt Trix hem nog een kans te geven. Johans conditie gaat hard achteruit en hij moet in het ziekenhuis opgenomen worden. ","Vrijdag 15 mei 1992"," 15 5 1992"
" Simon vertelt Johan het slechte nieuws over zijn gezondheid. Peter biedt Myriam en Johan zijn erfenis aan om hun reis te financieren. Helen en Peter gaan op zoek naar de koerier die Rolf aanreed en doen een ontdekking. Arnie vraagt een beurs aan om rechten te kunnen studeren. Laura haalt Daniël over een bloedproef te ondergaan.","Maandag 18 mei 1992"," 18 5 1992"
" Jef wordt ontslagen. Mickey probeert indruk op Anita te maken. Helen ondervraagt de enige getuige van het ongeluk van Rolf. Laura vraagt Robert bij te dragen in de studiekosten van Arnie. Op aanraden van Suzanne, maakt Frits een afspraak met Martine Hafkamp.","Dinsdag 19 mei 1992"," 19 5 1992"
" Trix en Simon komen nader tot elkaar. Johan wordt steeds zieker, maar wil niet dat Myriam daarachter komt. Mickey is jarig, maar niemand lijkt dat te weten. Martine Hafkamp heeft Frits waar ze hem hebben wil. Jef wil zijn hart uitstorten bij Simon, maar hem staat een onaangename verrassing te wachten. ","Woensdag 20 mei 1992"," 20 5 1992"
" Helen probeert Suzanne via Frits te bereiken. Linda neemt haar eerste liedje op. Martine komt Helen haar liefdesbrieven aan Rolf terugbrengen. Mark brengt Dian stiekem een bezoek en stelt voor samen weg te lopen. De getuige van het ongeluk blijkt spoorloos.","Donderdag 21 mei 1992"," 21 5 1992"
" Helen vraagt Daniël Martine uit te horen. Anita bekommert zich om het welzijn van de bejaarde medemens. Arnie ontvangt een cheque van zijn vader als tegemoetkoming in de studiekosten. Fred adviseert Linda een andere producent te zoeken. Simon maakt zich zorgen over Johan en zoekt steun bij Trix. Suzanne neemt contact op met Helen. Martine dwingt Frits om een karwei voor haar op te knappen. ","Vrijdag 22 mei 1992"," 22 5 1992"
" Arnie komt erachter dat Laura iets bekokstoofd heeft rond zijn studiefinanciering. Jef kan maar geen nieuwe baan vinden. Linda is druk bezig met de hoes van haar nieuwe single. Daniël en Laura willen een bloedproef laten doen om meer zekerheid te krijgen over de vraag wie de echte vader van Lotje is. Simon ziet het plan niet zo zitten. Dian en Mark lopen weg. ","Maandag 25 mei 1992"," 25 5 1992"
" Laura annuleert Arnie's studiebeurs. Jef besluit zich wat milder op te stellen tegenover Dian en Mark. Peter gaat op reis. Jan Henk zegt Jef de waarheid. Een romantisch dagje buiten met Myriam doet Johan goed.","Dinsdag 26 mei 1992"," 26 5 1992"
" Martine bedreigt Helen. Arnie komt erachter dat zijn aanvraag voor studiefinanciering geannuleerd is. Daniël bezoekt Martine en denkt dat hij Suzanne ziet. Linda vraagt aan Frits of hij iemand kent die haar ontwerp voor de platenhoes kan uitvoeren. Simon heeft een schokkende mededeling voor Myriam. ","Woensdag 27 mei 1992"," 27 5 1992"
" Helen zegt tegen Trix dat ze haar gevoelens voor Simon in bedwang moet houden. Jef uit een dreigement tegen de Raad van Bestuur. Hij zegt dat hij van plan is met het Sebsaliet-verhaal naar de pers te stappen. Dian sluit vrede met haar vader. Ondanks het verdriet dat Myriam over Johan heeft, besluit ze toch om op reis te gaan.","Donderdag 28 mei 1992"," 28 5 1992"
" Martine zet Frits voor het blok. Arnie is woedend wanneer hij merkt dat Hogendoorn sr. Linda weer lastig valt. Mickey wil met Anita gaan samenwonen. Helen zwicht voor het dreigement van Martine. Simon denkt dat hij Suzanne kan opsporen. Laura krijgt de uitslag van de bloedproef. Arnie ontmoet Herman Hogendoorn en Frits van Houten. ","Vrijdag 29 mei 1992"," 29 5 1992"
" Heeft Arnie Herman Hogendoorn neergeschoten? Daniël ontdekt zijn ware gevoelens voor Suzanne. Anita neemt een beslissing over het samenwonen met Mickey. Simon vertelt Laura dat ze een psychotherapeut nodig heeft. Een droevige Myriam gaat alleen op reis.","Maandag 21 september 1992"," 21 9 1992"
" Simon doet zijn best om Trix op te fleuren. Jef heeft ondertussen een belangrijk sollicitatiegesprek. Dian denkt dat Mark een verhouding heeft en is jaloers. Laura's verlangen naar Lotje doet haar terugvallen in een oude gewoonte. Simon ontvangt een verontrustend bericht over Annette en haar vader. ","Dinsdag 22 september 1992"," 22 9 1992"
" Peter komt terug van vakantie en is verliefd. Suzanne krijgt van Frits de opdracht een belangrijke klant in te pakken. Simon maakt zich zorgen over de psychische toestand van Laura en gaat op zoek naar Annette en haar vader. Helen wil met hem mee. Dian biedt Mark haar excuses aan voor haar jaloerse gedrag.","Woensdag 23 september  1992"," 23 9  1992"
" Myriam krijgt bezoek van een mysterieuze motorrijder. Trix bespreekt haar gevoelens voor Simon met Helen. Martine Hafkamp biedt Arnie een baan aan. Helen en Simon bereiden zich voor op hun reis naar Birma. Een dronken Laura zoekt contact met haar man Robert in New York.","Donderdag 24 september 1992"," 24 9 1992"
" Anita kaapt een baantje weg voor Mickey's neus. Er groeit iets moois tussen Suzanne en Jan Henk. Laura is er heilig van overtuigd dat ze Lotje bij zich terug heeft. Daniël maakt zich zorgen om Tim. Peter verbergt zijn ware afkomst voor zijn nieuwe vriendin Anneke. ","Vrijdag 25 september 1992"," 25 9 1992"
" Myriam ergert zich aan haar opvolgster in De Cactus. Simon staat op het punt naar Birma te vertrekken en wordt gebeld door Jozette Calland. Waarom gedraagt Tim zich sinds zijn terugkeer zo onmogelijk tegen zijn huisgenoten?","Maandag 28 september 1992"," 28 9 1992"
" Wie is het meisje dat Tim op zijn kamer verbergt? Linda's eerste single komt uit. Dian is woedend wanneer Mark weer een afspraak met Michelle heeft. Jan Henk vertelt Daniël over zijn gevoelens voor Suzanne. Als Dian alleen thuis is, dringt Kees Moree binnen. Hij wil wraak nemen op Jef.","Dinsdag 29 september 1992"," 29 9 1992"
" Eenmaal in Birma aangekomen, proberen Simon en Helen erachter te komen waar Annette en haar vader zouden kunnen zijn. Suzanne vertelt Daniël over haar gevoelens voor Jan Henk. Jan Henk is teleurgesteld dat zijn afspraak met Suzanne niet door kan gaan. Simon en Helen krijgen een vreselijk bericht over David van Thijn en vrezen het ergste voor Annette.","Woensdag 30 september 1992"," 30 9 1992"
" Myriam heeft er een vriendin bij. Peter komt zijn vriendin Anneke voorstellen aan zijn huisgenoten. Daniël vindt het raar dat Laura zonder iets te zeggen is vertrokken. Frits van Houten biedt Tim een baan aan. Helen en Simon bezoeken het ziekenhuis waar de ambassade denkt Annette gevonden te hebben. ","Donderdag 1 oktober 1992"," 1 10 1992"
" Dian wordt bespied en belt op aanraden van Mark de politie. Linda geeft een feestje vanwege de release van haar eerste single. Frits van Houten wil dat Suzanne in haar eigen huis een zakenborrel voor Pieter Terlingen organiseert. Simon en Helen vinden Annette. ","Vrijdag 2 oktober 1992"," 2 10 1992"
" Anita staat haar mannetje tegenover Pieter Terlingen. Frits van Houten is van plan het opvangcentrum af te laten breken. Daniël probeert hem op andere gedachten te brengen. Jan Henk hoort dat Suzanne naar het buitenland is vertrokken. Ondanks het verbod van Tim gaat Julie met Dian naar buiten. Arnie stelt Linda voor een belangrijke keuze. ","Maandag 5 oktober 1992"," 5 10 1992"
" Peter wil in de verlaten snackbar naast het opvangcentrum zijn eigen restaurant beginnen. Anita spreekt haar bewondering voor Daniël uit. De politie gaat naarstig op zoek naar de door Laura ontvoerde baby. Simon verwerkt zijn verdriet over Annette op zijn eigen manier. ","Dinsdag 6 oktober 1992"," 6 10 1992"
" Anita wil niet bij Simon wonen. Peter heeft geld nodig voor zijn eigen restaurant en vraagt Helen om hulp. Simon weigert naar de herdenkingsdienst te gaan die Helen voor Annette heeft georganiseerd. Er vindt ondertussen een persconferentie plaats over de vermiste baby.","Woensdag 7 oktober 1992"," 7 10 1992"
" Tot ontsteltenis van Helen weet Trix door te dringen tot de verdrietige Simon. Arnie heeft moeite met Linda's plannen om haar carrière voort te zetten. Peter ontdekt dat Anita speciale gevoelens voor Daniël koestert. De receptionist van Laura's hotel schakelt de politie in.","Donderdag 8 oktober 1992"," 8 10 1992"
" De politie valt de hotelkamer van Laura en de baby binnen. Tot woede van Helen doet Simon Trix een bijzonder aanbod. Arnie verbreekt zijn relatie met Linda. Jan Henk krijgt een ongeluk.","Vrijdag 9 oktober 1992"," 9 10 1992"
" Jef komt terug van een zakenreis en confronteert Kees Moree met zijn bedreigingen. Peter helpt Julie aan een veilig onderkomen. Wat doet Mark als hij pretendeert te trainen? Daniël maakt zich zorgen over de verliefdheid van Anita. Martine heeft een nieuwe manier bedacht om Peter te manipuleren.","Maandag 12 oktober 1992"," 12 10 1992"
" Laura huurt, onder een valse naam, een bungalow aan zee. Tot vreugde van Anita wordt Simon weggeroepen voor een spoedgeval en blijft ze alleen achter met Daniël. Arnie is geïnteresseerd in de baan die Martine Hafkamp hem aanbiedt. Kees Moree heeft Jef eindelijk waar hij hem hebben wil. Peter en Tim hebben goed nieuws voor Julie. ","Dinsdag 13 oktober 1992"," 13 10 1992"
" Een wanhopige Trix neemt een beslissing over de toekomst van haar baby. Anita voelt Mark aan de tand over zijn geheimzinnige uitstapjes. Myriam regelt een afspraakje tussen haar zuster Carrie en een vriend van Mickey. Simon realiseert zich wie de baby heeft gestolen uit zijn praktijk. ","Woensdag 14 oktober 1992"," 14 10 1992"
" Als Trix toevallig de telefoon bij Frits van Houten opneemt, begrijpt ze plotseling de hele situatie en slaat op de vlucht. Anita kan de reactie van Daniël niet verkroppen. Dian en Daniël nemen maatregelen om Kees Moree op afstand te houden. In een politiebericht op TV herkent Arnie het signalement van zijn moeder.","Donderdag 15 oktober 1992"," 15 10 1992"
" Julie Scholten bekent Peter verliefd te zijn op Tim. Myriams zuster Carrie neemt haar intrek in huize Koossie. Arnie vist uit waar zijn moeder zou kunnen zijn. Peter bereidt de opening van zijn restaurant voor. Govert Harmsen is geschokt wanneer hij hoort dat Helen mede-eigenaar is.","Vrijdag 16 oktober 1992"," 16 10 1992"
" Door weg te lopen met Mickey probeert Trix de represailles van Frits van Houten te ontwijken. Carrie van der Pol gedraagt zich niet als een voorbeeldige gast. Arnie denkt een manier gevonden te hebben om zijn moeder te bereiken. Mickey belt Simon, maar Anita neemt op. Simon verliest zijn zelfbeheersing wanneer Frits hem provoceert. ","Maandag 19 oktober 1992"," 19 10 1992"
" Ondanks Helens verbod wordt Peters nieuwe restaurant toch geopend. Govert Harmsen probeert echter het feest te verstoren. Julie confronteert Tim met haar gevoelens. Dat Mark geheime afspraakjes heeft, doet bij iedereen vermoeden dat hij Dian bedriegt. Op verzoek van Dian brengen Helen en Jan Henk de nacht door in huize Alberts.","Dinsdag 20 oktober 1992"," 20 10 1992"
" Dian ontdekt bij het ontwaken een mes in haar hoofdkussen. Arnie plaatst een oproep in een talkshow om Laura te bereiken. Jef komt terug van een zakenreis en is woest dat hij Jan Henk in zijn huis aantreft. Een wanhopige Mickey neemt contact op met Helen. ","Woensdag 21 oktober 1992"," 21 10 1992"
" Rien Hogendoorn wordt uit de gevangenis ontslagen en trekt bij zijn halfbroer Frits in. Frits van Houten zegt de voogdij van de baby geregeld te hebben, ondanks de bedreigingen van Jan Henk. Simon wordt in opdracht van Van Houten in elkaar geslagen. Als een depressieve Laura beseft wat ze gedaan heeft, loopt ze de zee in. ","Donderdag 22 oktober 1992"," 22 10 1992"
" Helen wil bij Trix blijven totdat ze veilig is voor Van Houtens bedreigingen. Een ongelukkige Mark durft zijn problemen aan niemand toe te vertrouwen. Julie moet, onder dwang, mee met circuseigenaar Leeuwenberg. Huize Van Houten wordt opgeschrikt door een schot.","Vrijdag 23 oktober 1992"," 23 10 1992"
" Als Trix bevalt, zijn alleen Helen en Mickey aanwezig om het kind ter wereld te brengen. Arnie probeert mevrouw Strijbos over te halen de aanklacht tegen zijn moeder in te trekken. Simon wordt verdacht van de moord op Frits van Houten. Suzanne wordt voor de ogen van Daniël aangereden. Myriam laat Tim de brief van Julie lezen. Kees Moree traceert Dian.","Maandag 26 oktober 1992"," 26 10 1992"
" Als Jan Henk Dian uit de handen van Kees Moree redt, moet Jef hem wel erkentelijk zijn. Peter bezoekt een ongedurige Suzanne in het ziekenhuis. Dian volgt Mark naar een geheime afspraak. Arnie bereidt zich voor op een langdurig ziekteproces van Laura.","Dinsdag 27 oktober 1992"," 27 10 1992"
" Trix viert samen met Helen en Mickey de geboorte van haar zoon. Volgens de politie heeft Simon een motief voor de moord op Frits. Mickey wordt aangenomen bij de knipseldienst van een krant. Tim weet te ontsnappen met Julie en Leeuwenberg zet de achtervolging in. ","Woensdag 28 oktober 1992"," 28 10 1992"
" Julie wil haar moeder ontmoeten. Harmsen biedt zijn excuses aan voor de aanklacht tegen het restaurant. Mark gaat bij zijn moeder wonen. Dian confronteert Jef met zijn gevoelens voor Anne de Jager. Trix geeft haar pasgeboren zoon een naam. ","Donderdag 29 oktober 1992"," 29 10 1992"
" Simon gaat op onderzoek uit in het huis van Frits en treft een indringer aan. Suzanne denkt dat Jan Henk iets met de moord op Van Houten te maken heeft. Peter ziet een mogelijkheid om zijn restaurant weer open te krijgen. Trix gaat naar de begrafenis van Frits en krijgt de schrik van haar leven. ","Vrijdag 30 oktober 1992"," 30 10 1992"
" Ziet Trix spoken? Jan Henk voelt zich verantwoordelijk voor het welzijn van Trix en haar kind. Tot ergernis van Jef, wil Dian stoppen met haar studie en een baantje gaan zoeken. Mark concentreert zich niet op zijn training en wordt door Jan Henk onder handen genomen. Myriam wordt door Arthur uitgenodigd voor een klassiek concert. ","Maandag 2 november 1992"," 2 11 1992"
" Jan Henk maakt het uit met Suzanne. Terwijl Roos weinig vertrouwen heeft in Steef, de vriend van haar moeder Anne, ziet Anne Arnie best zitten als vriendje voor haar dochter. Mickey's eerste ontmoeting met zijn nieuwe baas, Janine Elschot, verloopt stroef. Martine Hafkamp daagt Herman Hogendoorn uit.","Dinsdag 3 november 1992"," 3 11 1992"
" Simon is ervan overtuigd dat Suzanne niets mankeert, maar zelf beweert zij dat ze een dwarslaesie heeft. Dian en Roos hebben duidelijk geen zin in een avondje uit met Mark en Arnie. Julie gaat op visite bij haar moeder. Arnie neemt het aanbod van Jef om weer thuis te komen wonen in overweging. Door de gezondheidstoestand van zijn vader wordt Daniël gedwongen naar zijn ouderlijk huis te gaan. ","Woensdag 4 november 1992"," 4 11 1992"
" Martine, op zoek naar de moordenaar van Frits, laat de onderwereld uitkammen. Jef en Dian hebben Steef en Anne op visite. Julie doet haar best Myriams zelfvertrouwen op te vijzelen. Peter biedt Arnie een baantje aan. ","Donderdag 5 november 1992"," 5 11 1992"
" Peter zou Roos de Jager wel wat beter willen leren kennen. Advocaat Lex Mastenbroek heeft een heuglijke mededeling voor Arnie. Steef en Anne hebben een leuke vrouw voor Simon op het oog en organiseren een etentje. De politie heeft een schokkende verrassing voor Herman Hogendoorn. Marks verdriet om zijn moeder maakt een einde aan zijn verhouding met Dian. ","Vrijdag 6 november 1992"," 6 11 1992"
" Arnie schakelt Arthur in om meer over Roos te weten te komen. Myriam interpreteert Helen's goede bedoelingen verkeerd en schrijft zich in voor een zangwedstrijd. Peter verliest geld en Helen beschuldigt Mickey van diefstal.","Maandag 9 november 1992"," 9 11 1992"
" Peter en Arnie vechten om de aandacht van Roos de Jager. Julie weigert met Tim mee te gaan om voor hun zieke moeder te zorgen. Myriam is van streek als ze hoort dat Julie ook aan de zangwedstrijd meedoet. Daniël gaat een poosje naar zijn ouders en neemt afscheid van Laura. ","Dinsdag 10 november 1992"," 10 11 1992"
" Anne en Steef willen Simon en Hester aan elkaar koppelen. Arthur probeert Mark zover te krijgen dat hij de problemen met zijn verslaafde moeder onder ogen ziet. Simon heeft goed nieuws voor Suzanne, maar zal zij ooit nog kunnen lopen?","Woensdag 11 november 1992"," 11 11 1992"
" Ondanks de goedbedoelde bemoeienissen van Arthur, Jef en Dian, blijft Mark de alcoholverslaving van zijn moeder ontkennen. Simon wil Suzanne naar een psychiater verwijzen. Geeft het ziekenhuis Laura toestemming om Lotje te bezoeken? ","Donderdag 12 november 1992"," 12 11 1992"
" Peter en Helen leggen hun meningsverschillen bij. Laura wordt uit het ziekenhuis ontslagen, maar wel onder bepaalde voorwaarden. Helen heeft goed nieuws voor Myriam, die aan een zangwedstrijd mee wil doen. Anne wordt heen en weer geslingerd tussen Roos en Steef. Martine maakt weer heftig misbruik van Arnie.","Vrijdag 13 november 1992"," 13 11 1992"
" Martine woont de opening van restaurant De Kelder bij. Myriam is woedend als ze hoort wie Julie's muzikale begeleiding zal zijn. Roos zoekt troost bij Peter. Helen bereidt zich voor op haar vertrek naar Engeland. ","Maandag 16 november 1992"," 16 11 1992"
" Claire maakt toekomstplannen, maar Mark twijfelt aan haar doorzettingsvermogen. Arthur vertelt hem over zijn vaders drankprobleem. Suzanne blijft erg lusteloos en laat zich verzorgen door Dian. Simon denkt dat Suzanne's verlamming een psychische oorzaak heeft. Steef vraagt Anne ten huwelijk. Wat zal zij doen? ","Dinsdag 17 november 1992"," 17 11 1992"
" Claire wil haar leven verbeteren; Mark mag alle flessen drank weggooien. Steef probeert Roos voor zich te winnen. Frits van Houten leest in de krant een verontrustend bericht en krijgt onverwacht bezoek. Mickey raakt, tegen zijn zin, betrokken bij de rivaliteit tussen Julie en Myriam. Arnie is jaloers op de hechte vriendschap tussen Peter en Roos. ","Woensdag 18 november 1992"," 18 11 1992"
" Martine laat zowel Frits van Houten, Van Kooten als Hogendoorn sr. schaduwen. Suzanne reageert haar frustraties af op Dian en Simon. Arthur probeert haar te laten inzien dat ze zich aanstelt. Jef maakt zich kwaad en zegt Roos de waarheid. Mark nodigt zijn moeder uit de zwemkwalificaties bij te wonen.","Donderdag 19 november 1992"," 19 11 1992"
" Lukt het Arthur om tot Suzanne door te dringen? Mark krijgt een grote teleurstelling te verwerken. Mickey besluit, ondanks Daniël's waarschuwingen, zelf een onderzoek naar de moord op Rien in te stellen. Frits wordt boos en pakt zijn spullen en hij vertrekt uit zijn hotel. Als Jef hoort wat Arthur gedaan heeft, gaat hij woedend naar hem op zoek. ","Vrijdag 20 november 1992"," 20 11 1992"
" Myriam is ervan overtuigd dat Julie en Jef tegen haar samenspannen. Arthur doet zijn best om Suzanne op te vrolijken. Mickey bezoekt Herman Hogendoorn. Zal Mark de kracht vinden om Arthurs raad op te volgen en dus zijn moeder aan haar lot over te laten? Frits beschuldigt Martine van de moord op zijn halfbroer Rien.","Maandag 23 november 1992"," 23 11 1992"
" Herman Hogendoorn is bereid Frits te helpen bij het opsporen van zijn zoon, maar onder één voorwaarde. Arthur heeft Suzanne eindelijk zover dat ze buitenshuis wil lunchen, maar hun etentje wordt ruw verstoord. Peter biedt Roos aan om bij hem te komen wonen. Mickey ondervindt dat het beter is om bij Hogendoorn sr. uit de buurt te blijven. ","Dinsdag 24 november 1992"," 24 11 1992"
" Op advies van Peter gaat Mickey met de anonieme brief naar de politie. Verspeelt Mark door Claire's toestand zijn kansen in de kwalificatiewedstrijden? Martine heeft veel profijt van Arnie's aanwezigheid op haar kantoor. Als Pieter Terlingen hoort dat Suzanne invalide is, wil hij de beste specialistische hulp voor haar. ","Woensdag 25 november 1992"," 25 11 1992"
" Julie en Myriam nemen het tegen elkaar op in een zangwedstrijd. Mark besluit dat hij geen contact meer met zijn moeder wil tot na de kwalificatiewedstrijden. De vriendschap tussen Peter en Arnie heeft zich nog maar net hersteld of Arnie treft Roos in Peter's armen aan. Martine eist Suzanne's medewerking in haar wraakactie tegen Herman Hogendoorn. ","Donderdag 26 november 1992"," 26 11 1992"
" Jef denkt Suzanne te kunnen helpen door Jan Henk bij haar terug te brengen. Mickey probeert Trix te bereiken en haar te waarschuwen voor het dreigende gevaar. Buiten zijn wil om wordt Mark geconfronteerd met zijn dronken moeder. Frits wil dat zijn vader Fritsje bij Trix weg gaat halen. Zal Roos terug gaan of blijft ze bij Peter slapen? ","Vrijdag 27 november 1992"," 27 11 1992"
" Arthur blijft bij Suzanne slapen. Julie en Myriam leggen de ruzie bij. Frits en Herman Hogendoorn zetten vaart achter het opsporen van Trix. Arnie is verbouwereerd als hij hoort dat Roos bij Peter op de kamer slaapt. ","Maandag 30 november 1992"," 30 11 1992"
" Arnie vraagt Jef een goed woordje voor hem te doen bij Roos. Frits bezoekt Mickey en toont interesse voor zijn onderzoek naar familiebedrijven. Peter legt Arnie uit wat er nu werkelijk aan de hand is tussen hem en Roos. Wat voert Pieter Terlingen in zijn schild? ","Dinsdag 1 december 1992"," 1 12 1992"
" Jef en Mickey proberen Trix op te sporen. Roos beseft dat zij invloed heeft op de vriendschap tussen Arnie en Peter. Mark reageert op een noodkreet van zijn moeder. Steef doet Anne wederom een aanzoek.","Woensdag 2 december 1992"," 2 12 1992"
" Arnie voorziet Martine onbedoeld van interessante informatie. Als Jef plotseling stekende pijn in zijn linkerarm krijgt, is Anne bang voor een hartaanval. Een verliefde Peter en Roos lopen Arnie en Martine tegen het lijf. Mark komt bij bewustzijn en verneemt wat zijn verwondingen voor zijn zwemcarrière betekenen. ","Donderdag 3 december 1992"," 3 12 1992"
" Steef is erop gebrand om de huwelijksdatum zo snel mogelijk vast te stellen. Myriam en Julie willen samen op reis, maar zitten krap bij kas. Arthur verklaart Suzanne zijn liefde.","Vrijdag 4 december 1992"," 4 12 1992"
" Myriam en Julie bedenken een reclamestunt ter promotie van hun nieuwe bedrijf. Claire kan niet accepteren dat haar zoon Mark haar niet meer wil zien. Jef haalt Jan Henk van het vliegtuig. Buiten Martine om maakt Arnie een afspraak met collega Carola Vermeer. ","Maandag 7 december 1992"," 7 12 1992"
" Jef doet onderzoek naar de gangen van Pieter Terlingen. Connie Kelder doet een beroep op haar pleegbroer Peter. Daniël komt terug van zijn ouders. De reclamestunt van Julie en Myriam valt niet bij iedereen in de smaak. Wat weten Jan Henk en Trix van de moord op Rien?","Dinsdag 8 december 1992"," 8 12 1992"
" Martine dwarsboomt de plannen van Frits en Herman Hogendoorn. Simon helpt Claire met het zoeken naar een oplossing voor haar drankprobleem. Peter belt met zijn partner Helen in Engeland. Jan Henk neemt Mickey in vertrouwen en doet een bekentenis.","Woensdag 9 december 1992"," 9 12 1992"
" Martine onderneemt actie om Carola uit Arnie's buurt te houden. Jef geeft een welkomstborrel voor Daniël. Myriam en Julie verzorgen de hapjes. Ziet Anne kans Roos met Steef te verzoenen? Arthur weet Claire ervan te overtuigen dat ze professionele hulp moet zoeken.","Donderdag 10 december 1992"," 10 12 1992"
" Roos gaat weer thuis wonen. Claire heeft de steun van Simon nodig om zich aan te melden bij de ontwenningskliniek. Mickey gaat naar de politie met zijn geheim. Arnie spreekt Martine aan op de overplaatsing van Carola.","Vrijdag 11 december 1992"," 11 12 1992"
" Arthur deelt zijn verdriet met Dian. Anita lijkt niet blij te zijn met de terugkeer van Helen en haar vader. Jan Henk vraagt zich af wat Mickey de politie verteld heeft. ","Maandag 14 december 1992"," 14 12 1992"
" Mickey is niet blij met de berichten die hij over Trix hoort. Myriam verwijt Daniël dat hij haar geen enkele kans geeft om een cateringbedrijf op te zetten.","Dinsdag 15 december 1992"," 15 12 1992"
" De bruiloft van Helen en Gerard lijkt voor Myriam en Julie de gelegenheid om hun zakelijke kwaliteiten te bewijzen. Jan Henk vertelt Frits de waarheid over de moordaanslag.","Woensdag 16 december 1992"," 16 12 1992"
" Frits vertelt de politie wie er achter de moord op Rien zit. Roos weet zich geen raad met de last die op haar schouders rust.","Donderdag 17 december 1992"," 17 12 1992"
" Daniël hoort van de politie dat Jan Henk verdacht wordt van moord. Anita worstelt ondertussen met het geheim van haar vader. Mark kan nauwelijks wachten tot hij weer met trainen mag beginnen. ","Vrijdag 18 december 1992"," 18 12 1992"
" Er komt onheilspellend nieuws uit Australië. Daniël ondervraagt Mickey over Jan Henks plotselinge vertrek. Anne ziet haar fout in, maar Roos wil niets met haar moeder te maken hebben. ","Maandag 21 december 1992"," 21 12 1992"
" Suzanne maakt plannen om een eigen bedrijfje te beginnen. Mark wordt uit het ziekenhuis ontslagen en Govert Harmsen geeft een feestje in De Kelder.","Dinsdag 22 december 1992"," 22 12 1992"
" Helen en Jef bereiden zich voor op hun reis naar Australië. Suzanne biedt Daniël een baan aan. Anita besluit Helen zelf de waarheid over haar vader te vertellen. ","Woensdag 23 december 1992"," 23 12 1992"
" Myriam is ongerust over het lot van Trix. Jef wil Anne helpen en probeert Roos tot rede te brengen. Tegen alle waarschuwingen in gaat Mark toch zwemmen.","Donderdag 24 december 1992"," 24 12 1992"
" Myriam en Julie raken lichtelijk in paniek door een opdracht. Frits probeert zijn verdriet en verslagenheid te overwinnen. Janine is blij dat Mickey zijn werk weer hervat heeft.","Vrijdag 25 december 1992"," 25 12 1992"
" Een verslagen Frits van Houten verlaat het land. Daniël biedt Suzanne bedrijfsruimte aan voor haar nieuwe modellenbureau. Myriam verdiept zich in de Franse keuken.","Maandag 28 december 1992"," 28 12 1992"
" Roos vraagt zich af of Arnie iets met Martine heeft. Mickey en Janine gaan op onderzoek uit naar een illegale giflozing. Gerard Dendermonde krijgt te maken met een onaangename verrassing. Daniël hoort van Mickey hoe de moord op Rien in elkaar zit.","Dinsdag 29 december 1992"," 29 12 1992"
" Anita wil Helen de waarheid over haar vader vertellen. Janine geeft Mickey een berisping wegens loslippigheid. Gerard wordt scherp in de gaten gehouden. Simon en Janine gaan samen uit. ","Woensdag 30 december 1992"," 30 12 1992"
" Govert Harmsen heeft een wonderlijke bestemming gevonden voor de dode vis. Myriam is onder de indruk van de avances van Diederik in 't Velt. Daniël en Suzanne bieden Mark een baan als model aan.","Donderdag 31 december 1992"," 31 12 1992"
" Als Mickey hoort dat Janine geveld is door een voedselvergiftiging, gaat hij op onderzoek uit. Volgens Julie heeft Rob Floor, de kok, een oogje op Myriam. Alice de Boer brengt een bezoek aan restaurant De Kelder. ","Vrijdag 1 januari 1993"," 1 1 1993"
" Janine ondervraagt Martine over haar betrekkingen met de Celu. Een zakenrelatie attendeert Jef op de verhouding tussen Arnie en Martine. Peter verheugt zich op het weerzien met Roos. Flash, het modellenbureau van Daniël en Suzanne, gaat van start.","Maandag 4 januari 1993"," 4 1 1993"
" Diederik maakt Mickey het leven zuur. Peter is teleurgesteld in Roos en praat daar met Dian over. Jef spreekt Arnie aan over zijn verhouding met Martine. Myriam is verliefd, maar of dat wederzijds is?","Dinsdag 5 januari 1993"," 5 1 1993"
" Jef is niet te spreken over de afspraak tussen Dian en Arthur. Janine maakt Mickey een compliment over zijn artikel over de Celu-affaire. Rob maakt Myriam duidelijk wat hij voor haar voelt. ","Woensdag 6 januari 1993"," 6 1 1993"
