"text_of_1month","datums","datums2"
" Peter wordt door Laura's toedoen vrijgelaten. Daniël is razend op Rien en confronteert hem met de feiten. Martine besluit het land te verlaten. Suzanne wordt wanhopig wanneer ze bij thuiskomst een chaos aantreft. ","Donderdag 29 november 1990"," 29 11 1990"
" Helen probeert Suzanne op andere gedachten te brengen. Tot Riens verbazing stapt Daniël op. Suzanne's vertrek laat Peter niet onberoerd. Robert gaat met goede hoop naar een sollicitatie, maar komt voor een verrassing te staan. ","Vrijdag 30 november 1990"," 30 11 1990"
" Robert besluit zijn oude baan terug te nemen. Janet van Zuylen blijkt over bijzondere kwaliteiten te beschikken. Annette's geheugen lijkt terug te komen en ze krijgt onverwacht bezoek. ","Maandag 3 december 1990"," 3 12 1990"
" Annette verkeert in moeilijkheden, maar Helen en Simon geloven haar verhaal niet. Robert trekt weer bij Laura in. Myriam heeft hoge verwachtingen van haar avondje uit. ","Dinsdag 4 december 1990"," 4 12 1990"
" Helen is wanhopig op zoek naar Annette's schuilplaats. Linda gaat met Rien en zijn vader uit eten, maar het etentje loopt niet zoals Rien gehoopt had. Fransen vertelt Peter over Suzanne's verleden.","Woensdag 5 december 1990"," 5 12 1990"
" Linda is razend omdat Rien zijn vader een grove leugen heeft verteld. Suzanne probeert tevergeefs met Peter te praten. Annette praat met Francine over vroeger. ","Donderdag 6 december 1990"," 6 12 1990"
" Het diner met Linda laat Hoogendoorn Sr. niet los. Annette krijgt door haar nachtmerries een duidelijk beeld van de moord op Marc. Nico vertelt Janet vertrouwelijk nieuws. Francine komt onverwacht uit de hoek. ","Vrijdag 7 december 1990"," 7 12 1990"
" Francine doet Annette een bekentenis. Hoogendoorn Sr. doet Linda een aanbod. Annette is woedend op Simon en Helen omdat zij haar niet hebben geloofd. ","Maandag 10 december 1990"," 10 12 1990"
" Linda is woedend wanneer ze hoort dat ze is ontslagen en neemt het aanbod van Hoogendoorn Sr. aan. Arnie hoort van zijn vader een gerucht over Linda en Rien. Peter gaat bij Suzanne langs om te praten.","Dinsdag 11 december 1990"," 11 12 1990"
" Annette legt haar ruzie met Helen bij. De relatie tussen Daniël en Laura wordt hechter. Suzanne en Peter zijn vastbesloten met elkaar door te gaan. Helen krijgt schokkend nieuws te horen over Annette's moeder.","Woensdag 12 december 1990"," 12 12 1990"
" Annette reist af naar haar vader. Linda's zwangerschap brengt haar geplande carrière in gevaar. Peter en Suzanne besluiten naar het buitenland te gaan. Hoogendoorn Sr. brengt Simon een bezoek om de zaken op een rijtje te zetten.","Donderdag 13 december 1990"," 13 12 1990"
" Arnie neemt een besluit om Linda te kunnen helpen. Daniël krijgt weer last van zijn gezondheid. Terwijl Suzanne voorbereidingen treft voor het vertrek, krijgt Peter een aanbod dat zijn toekomst radicaal kan veranderen. Janet praat haar mond voorbij. ","Vrijdag 14 december 1990"," 14 12 1990"
" Arnie praat met zijn ouders over abortus en is van plan zijn verantwoordelijkheden op zich te nemen. Linda heeft daar echter zo haar eigen ideeën over. Peter heeft de kans om helemaal opnieuw te beginnen. Suzanne vraagt Helen om raad. ","Maandag 17 december 1990"," 17 12 1990"
" Laura wordt bijna betrapt als ze bij Daniël is. Peter en Suzanne gaan druk aan de slag. Arnie klaagt tegen Peter over zijn ouders. Daniël lijkt weer geheel hersteld op kantoor te komen. ","Dinsdag 18 december 1990"," 18 12 1990"
" Linda's abortus houdt de gemoederen bezig. Zowel Rien als Hoogendoorn Sr. worden op de hoogte gebracht van Linda's zwangerschap. Petra probeert haar advies te geven. Arnie probeert begrip te krijgen voor zijn situatie en vertelt zijn verhaal aan de radio. ","Woensdag 19 december 1990"," 19 12 1990"
" Arnie gaat verbeten door met zijn strijd tegen Linda's beslissing en Simon biedt zijn zus aan een advocaat in te schakelen. Robert verbreekt zijn stilzwijgen en vertelt Laura wat hij heeft gezien. Peter bewijst een goede vriend te zijn.","Donderdag 20 december 1990"," 20 12 1990"
